Имя,Full name,Home Reality,Occupation,Identity,Status,Date of Birth,Age,Species,Gender,Skin Color,Eye color,Hair color,Height,Appeared in,Alias(es),Base of operations,Alt. versions,Marital Status,Affiliation(s),Nationality,Relatives,Power,Speed,Precision,Endurance
Metro Spider-Man,"Leland ""Metro Boomin"" Wayne (presumed)",Unidentified Universe,,Secret,Alive,,,Human (enhanced),Male,,,,,Spider-Man: Across the Spider-Verse,CodenamesMetro Spider-Man,,,,Spider Society,,,3,3,2,5
Miguel O'Hara,,,,,,,,,,,,,,,,,,,,,,3,1,5,3
Home,,,,,,,,,,,,,,,,,,,,,,1,2,4,5
Miles Morales,,,,,,,,,,,,,,,,,,,,,,3,3,1,1
Miles Warren (Earth-Unknown),Miles Warren,Unknown,Supervillain,,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse,CodenamesJackal,,Jackal,Single,,,,4,3,5,5
Christopher Miller,Christopher Miller,Earth-13122,Unknown,Public,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse,,,,Single,,American,Phil Lord (Best friend),2,2,2,2
Missterio,,Missterio's Home Reality,Supervillain,Secret,Alive,,,Human,Female,,,,,Spider-Man: Across the Spider-Verse,Codenames  Missterio,,Mysterio,Single,,,,4,4,1,1
Montana Bale,Montana Bale,Earth-1610,Supervillain,Secret,Alive,,,Human,Male,,,,,Spider-Man: Into the Spider-Verse (photo),Codenames Montana,,Montana,Single,,,,1,5,4,2
Mooseterio (Earth-8311A),,Earth-8311A,Supervillain,Secret,Alive,,,Anthropomorphic Moose,Male,,,,,Spider-Man: Across the Spider-Verse,Codenames  Mooseterio,,Mysterio,Single,,,,3,3,2,4
Jefferson Morales,Jefferson Morales,Earth-1610,Police Officer,Public,Alive,1970s,43 (ITSV)44 (ATSV),Human,Male,Black,Brown,Black,183 cm,Spider-Man: Into the Spider-VerseThe Spider Within: A Spider-Verse StorySpider-Man: Across the Spider-VerseSpider-Man: Beyond the Spider-Verse (upcoming),CodenamesLieutenant Morales[1]Captain Morales[1]Officer Morales[1]Derivatives Jeff[2],"Brooklyn, New York City",Jefferson MoralesJefferson Morales (Earth-42),Married,PDNY  71st Precinct,American,Aaron Davis † (brother)Miles Morales (son)Gloria Morales (mother-in-law)Maria Morales (sister-in-law),5,5,4,4
Jefferson Morales,Jefferson Morales,Earth-42,Police Officer,Public,Deceased,1970s,43,Human,Male,Black,Brown,Black,178 cm,Spider-Man: Across the Spider-Verse (graffiti),,"Brooklyn, New York City",Jefferson Morales,Married,PDNY (formerly),American,Miles Morales (son)Aaron Davis (brother),2,5,5,5
Miles Morales,Miles Gonzalo Morales,Earth-1610,StudentVigilanteStreet Artist,Secret,Alive,December 2005,13 [3] (ItSV)[4]15 [5] (AtSV)[2],Human (enhanced),Male,Black,Hazel  Blue (when Venom Striking),Black,170 cm,Spider-Man: Into the Spider-VerseThe Spider Within: A Spider-Verse StorySpider-Man: Across the Spider-VerseSpider-Man: Beyond the Spider-Verse (upcoming),CodenamesSpider-Man[1]DerivativesMiles Morales[1]Miles[1]Morales[1]In-Universe MediaSpider-Man #2[2]Menace[2]Organizational NamesThe Original Anomaly[2],"Brooklyn, New York City",Miles Morales  Miles Morales (Earth-42)Spider-Man,Single,Spider-Gang (formerly)Brooklyn Visions AcademyBrooklyn Middle School (formerly),American,Jefferson Morales (father)Rio Morales (mother)Aaron Davis † (paternal uncle)Gloria Morales (maternal grandmother)Maria Morales (maternal aunt),5,1,5,2
Miles G. Morales,Miles Gonzalo Morales,Earth-42,Vigilante/Anti-HeroStudent,Secret,Alive,December 2004,15,Human,Male,Black,Hazel,Black,170 cm,Spider-Man: Across the Spider-VerseSpider-Man: Beyond the Spider-Verse (upcoming),CodenamesProwlerDerivativesMiles MoralesMilesMorales,"Brooklyn, New York City",Miles Morales  Miles Morales (Earth-1610),Single,,American,Jefferson Morales † (father)Rio Morales  (mother)Aaron Davis (paternal uncle),1,5,5,4
Rio Morales,Rio Morales,Earth-1610,Nurse,No Dual,Alive,1970s,41 (ITSV)42 (ATSV),Human,Female,Brown,Brown,Brown,170 cm,Spider-Man: Into the Spider-VerseSpider-Man: Across the Spider-VerseSpider-Man: Beyond the Spider-Verse (upcoming),,"Brooklyn, New York City",Rio MoralesRio Morales (Earth-42),Married,,Puerto Rican   American,Gloria Morales (mother)Miles Morales (son)Maria Morales (younger sister)Aaron Davis † (brother-in-law),3,3,3,4
Rio Morales,Rio Morales,Earth-42,Nurse,No Dual,Alive,1970s,42,Human,Female,Brown,Green,Brown,170 cm,Spider-Man: Across the Spider-Verse,,"Brooklyn, New York City",Rio MoralesRio Morales (Earth-1610),Widowed,,Puerto Rican   American,Miles Morales (son)Aaron Davis (brother-in-law)Gloria Morales (mother),5,1,4,4
Multi-Factor,Unknown,Earth-928,,,Unknown,,,,Male,,,,,Spider-Man: Across the Spider-Verse (referenced),,,,,,,,5,2,5,1
Norman Osborn,Norman Virgil Osborn,Earth-1610,,,Deceased,,,Human (mutated),Male,,,,7.62 m,Spider-Man: Into the Spider-Verse,Green Goblin,New York,Norman Osborn,,Kingpin,,,2,3,5,1
Norman Osborn,Norman Virgil Osborn,Earth-616,,Public,Alive,,,,Male,,,,,Spider-Man: Into the Spider-Verse (flashback),Green Goblin,,Norman Osborn,,,,"Harry Osborn (son, deceased)",2,1,4,3
Norman Osborn,Norman Osborn,Green Goblin's reality,Supervillain,Secret,Alive,,,Goblin-enhanced Human,Male,,,,,Spider-Man: Across the Spider-Verse,Codenames Green Goblin,,Green Goblin,Single,,,,3,1,5,2
Norman Osborn,Norman Osborn,Green Goblin's reality,Supervillain,Secret,Alive,,,Goblin-enhanced Human,Male,,,,,Spider-Man: Across the Spider-Verse,Codenames Green Goblin,,Green Goblin,Single,,,,2,5,4,4
Mignola-World Puppet Goblin,Norman Osborn,Mignola World,Supervillain,Secret,Alive,,,Goblin-enhanced Human,Male,,,,,Spider-Man: Across the Spider-Verse,Codenames Mignola-World Puppet Green Goblin,,Green Goblin,Single,,,,5,2,2,2
Nuclear Boarhead,,Earth-8311,,,Alive,,,Boar,,,,,,Spider-Ham: Caught in a Ham,,,,,,,,5,3,4,3
Miguel O'Hara,Miguel O'Hara,Unidentified Universes,Unknown,No-Dual (presumably),Deceased,,,Human,Male,White,Brown,Brown,,Spider-Man: Across the Spider-Verse,,,Miguel O'Hara,Single,,American Mexican Irish,Gabriella O'Hara (daughter; deceased),1,3,4,5
Miguel O'Hara,Miguel O'Hara,Earth-928,,Secret,Alive,,35,Human (enhanced),Male,Brown,Dark Brown  Red (temporarily),Black,210 cm (6'9),Spider-Man: Into the Spider-Verse (post-credits scene)Spider-Man: Across the Spider-VerseSpider-Man: Beyond the Spider-Verse (upcoming),CodenamesSpider-Man[1]Editorial NamesSpider-Man 2099[1]Interesting Person #1[1],Nueva York,Miguel O'HaraSpider-Man,Single,Spider-SocietyLylaAlchemax (formerly),American,Gabriella O'Hara (alternate reality/adoptive daughter; deceased),5,5,3,3
Michelle Obama,Michelle LaVaughn Robinson Obama,Earth-1610,Presidential Candidate,No-dual,Alive,,,Human,Female,Black,Brown,Black,,Spider-Man: Across the Spider-Verse (mentioned),,United States,,Married,,American,,3,2,2,4
Otto Octavius,Otto Gunther Octavius,Classic Doc Ock's Reality,Supervillain,Secret,Alive,,,Human,Male,White,,Brown,,Spider-Man: Across the Spider-Verse,"Codenames  Doctor Octopus, Doc Ock",,Doctor Octopus,Single,,,,4,3,3,5
Otto Octavius,Otto Octavius,Earth-65,,,Alive,,,Human,Male,,,,,Spider-Man: Into the Spider-Verse (flashback),CodenamesDoctor Octopus,New York,Doctor Octopus,,,,,1,2,5,5
Johnathon Ohnn,Johnathan Ohnn,Earth-1610,SupervillainCriminalScientist (formerly),Secret,Alive,1980,40,Human (enhanced),Male,"Light, later white","Brown, later none","Black, later none",178 cm (base)Variable,Spider-Man: Into the Spider-Verse (cameo) (unnamed)Spider-Man: Across the Spider-VerseSpider-Man: Beyond the Spider-Verse (upcoming),CodenamesSpot[1]The Spot[1]NicknamesCow[1]Dalmatian[1]Villain of the Week[1]Spider-Man's Nemesis[1],,,,Alchemax (formerly),,,1,3,4,3
Olivia Octavius,Olivia Octavius,Earth-1610,Head scientist at Alchemax,Secret,Unknown,1987,31,Human,Female,White,Hazel,Brown,5'11-6'0,Spider-Man: Into the Spider-VerseSpider-Man: Across the Spider-Verse (flashback),Codenames  Doctor OctopusDoc Ock  Derivatives  Liv,New York,Doctor Octopus,Single,AlchemaxWilson FiskFisk Family Foundation,American,,3,5,2,4
Norman Osborn,Norman Virgil Osborn,Atari Norman Osborn's Reality,,Secret,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse,Codenames  Green Goblin  Organizational Names  Video game guys (with other video game villains and Spider-Man),,Norman Osborn,Single,,,,3,4,3,5
Harry Osborn,Harold Theopolis Osborn,Earth-616,,No Dual,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse (photo),,,,Married,,American,Norman Osborn (father),2,3,4,3
Otto Octavius,Otto Octavius,Earth-13122,Scientist,,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse  (Newspaper),CodenamesDoctor OctopusDoc OckLego Doctor OctopusLego Doc Ock,,Doc Ock,,,,,1,1,1,3
Otto Octavius,Otto Octavious,Earth-42,"Supervillain, CEO of Oct 8",Secret,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse (mentioned),Codenames  Doctor Octopus,,Doctor Octopus,Single,Sinister Six,American,,2,1,3,4
Otto Octavius,Otto Gunther Octavius,Earth-616,Supervillain,Secret,Alive,,,Human,Male,,,,,Spider-Man: Into the Spider-Verse (flashback/photo),CodenamesDoctor OctopusDerivativesOtto OctaviusNicknames Doc Ock,New York,Doctor Octopus,Single,,American,,5,4,2,3
Otto Octavius,Otto Gunther Octavius,Superior Spider-Man's Reality,Supervillain,Secret,Alive,,,Spider-Person,Male,,,,,Spider-Man: Across the Spider-Verse,CodenamesSpider-ManSuperior Spider-Man,,Doctor OctopusPeter ParkerSpider-People,Single,Spider-Society,,,1,3,3,3
Otto Octavius 1 (Earth-Unknown),Otto Gunther Octavius,Doctor Octopus's reality,Supervillain,Secret,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse,Codenames Doctor Octopus  Doc Ock,,Doctor Octopus,Single,,,,1,1,3,3
Otto Octavius 2 (Earth-Unknown),Otto Guntler Octavius,Doctor Octopus's reality,Supervillain,Secret,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse,Codenames Doctor Octopus  Doc Ock,,Doctor Octopus,Single,,,,4,1,3,2
Otto Octavius 3 (Earth-Unknown),Otto Guntler Octavius,Doctor Octopus's reality,Supervillain,Secret,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse,Codenames Doctor Octopus  Doc Ock,,Doctor Octopus,Single,,,,1,3,5,1
Otto Octavius 4 (Earth-Unknown),Otto Gunther Octavius,Doctor Octopus's reality,Supervillain,Secret,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse,Codenames Doctor Octopus  Doc Ock,,Doctor Octopus,Single,,,,5,2,1,2
Otto Octavius 5 (Earth-Unknown),Otto Gunther Octavius,Doctor Octopus's reality,Supervillain,Secret,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse,Codenames Doctor Octopus  Doc Ock,,Doctor Octopus,Single,,,,2,3,2,3
Otto Octavius 6 (Earth-Unknown),Otto Gunther Octavius,Doctor Octopus's reality,Supervillain,Secret,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse,Codenames Doctor Octopus  Doc Ock,,Doctor Octopus,Single,,,,2,2,2,1
Anna-May Parker,Anna-May Parker,Earth-18119,Superhero,Secret,Alive,,,Human (enhanced),Female,,,Orange,,Spider-Man: Across the Spider-Verse,Codenames  Spiderling,,,Single,Spider-Society,,Peter Parker (father)  Mary Jane Watson (mother),4,4,2,5
Ben Parker,Benjamin Franklin Parker,Earth-65,,No-Dual,Alive,,,Human,Male,White (fair),,Gray,,Spider-Man: Across the Spider-Verse (cameo),,"Chelsea, New York City",Ben Parker,Married,,American,Peter Parker (nephew),5,5,4,2
Ben Parker,Benjamin Franklin Parker,Earth-96283,,No-Dual,Deceased,Before 21st Century,,Human,Male,White (fair),Blue,Brown,,Spider-Man: Across the Spider-Verse,,"New York City, New York",Ben Parker,Married,,American,Peter Parker (nephew),2,4,2,2
May Parker,Maybelle Parker,Earth-65,,No-Dual,Alive,,,Human,Female,White (fair),Blue,Blonde,,Spider-Man: Across the Spider-Verse,,"Chelsea, New York City",May Parker,Married,,American,Peter Parker † (nephew),3,5,2,2
Peni Parker,Peni Parker,Earth-14512,SuperheroSpider-Society Employee (formerly),Secret,Alive,3132[1],13 (ItSV)[2] 14-15 (AtSV)[3],Human (Enhanced),Female,Pale,Brown,Black,150 cm,Spider-Man: Into the Spider-VerseSpider-Man: Across the Spider-VerseSpider-Man: Beyond the Spider-Verse (upcoming),SP//dr,New York,Peter ParkerSpider-People,Single,Radioactive spiderSP//dr robotSpider-GangSpider-Society  (Formerly),Japanese American,Unnamed father †,5,1,1,4
Peter Parker,Peter Benjamin Parker,Bombastic Bag Man's Reality,Superhero,Secret,Alive,,,Spider-Person,Male,,,Brown,,Spider-Man: Across the Spider-Verse,Codenames  Bombastic Bag Man,,Spider-PeoplePeter Parker,Single,Spider-Society,,,5,1,4,3
Peter Parker,Peter Benjamin Parker,Earth-120703,VigilantePhotographerStudent (formerly),Secret,Alive,August 1995,28,Human (enhanced),Male,White (fair),Blue,Brown,179 cm,Spider-Man: Across the Spider-Verse,Derivatives  PeterPeteCodenames  Spider-ManPeter-ThreeEditorial Names  The Amazing Spider-Man,"Forest Hills, Queens, New York City, New York",Peter ParkerSpider-Man,Single,Midtown Science High School (formerly)The Daily Bugle,American,"Ben Parker (uncle, deceased)May Parker (aunt)",4,1,4,5
Peter Parker,Peter Benjamin Parker,Earth-65,"Supervillain (briefly, formerly)Student (formerly)",Secret,"Deceased (Killed by Gwen Stacy, not knowing that the lizard was actually him)",2000s,13-14,Human (enhanced; mutated),Male,White (Fair)Green as Lizard,Brown Red as Lizard,BrownNone as Lizard,,Spider-Man: Into the Spider-Verse (flashback)Spider-Man: Across the Spider-Verse (flashback),CodenamesLizard,"Chelsea, New York City",Peter ParkerLizard,Single,,American,Ben Parker (uncle)May Parker (aunt),2,2,3,5
Peter Parker,Peter Benjamin Parker,Earth-90214,Private investigator,Secret,Alive,,"18+, most likely in his 20s",Human (enhanced),Male,White (Fair),Black,Black,,Spider-Man: Into the Spider-VerseSpider-Man: Across the Spider-Verse,CodenamesSpider-Man[1]The Spider-Man[1]DerivativesPeter Parker[1]Peter[1]NicknamesSpider-Man Noir[1]Spider-Noir[1],,Peter ParkerSpider-Man,Single,Spider-Gang,American,"Benjamin Parker (uncle, deceased)",5,5,5,5
Spider-Man,Peter Benjamin Parker,Earth-96283,VigilantePhotographerStudent (formerly),Secret,Alive,August 1983,40,Human Mutate,Male,White (fair),Blue,Brown,"5'8""",Spider-Man: Across the Spider-Verse,Codenames  Spider-Man The Human Spider Peter Two Editorial Names  The Friendly Neighborhood Spider-ManDerivatives  Mr. Spider-Man Spidey Ben Parker The Spider Michaelangelo Pete,"New York City, New York",Peter ParkerSpider-Man,In relationship or possibly married,Midtown High (formerly)Joe's Pizza (formerly)Columbia University (formerly)The Daily Bugle,American,"Ben Parker (uncle, deceased)May Parker (aunt)",2,1,4,3
Peter B. Parker,Peter Benjamin Parker,Earth-616,VigilanteInvestor (formerly)Photographer (formerly)TV Celebrity (formerly)Wrestler (formerly)Student (formerly),Secret,Alive,1980,38 [3] (ItSV)39 [4] (AtSV),Human (enhanced),Male,White (fair),Brown,Brown (graying),178 cm,Spider-Man: Into the Spider-VerseSpider-Man: Across the Spider-VerseSpider-Man: Beyond the Spider-Verse (upcoming),CodenamesSpider-Man[1]DerivativesPeter Parker[1]Peter[1]In-Universe MediaWebbed Menace[1]Supervillain[1]Organizational Names616 Peter Parker[2]Spider-Man of E-616[2],"New York City, New York",Peter ParkerSpider-Man,Divorced (ItSV)Re-Married (AtSV),Spider-GangSpider-Society  (formerly)The Daily Bugle  (formerly)Midtown High School  (formerly)Empire State University  (formerly),American,"Richard Parker (father, deceased)Mary Parker (mother, deceased)Ben Parker (uncle, deceased)May Parker (aunt, deceased)Mayday Parker (daughter, anomaly)Spencer Watson (uncle-in-law)Anna Watson (aunt-in-law)",3,3,4,1
Eugene Patilio,Eugene Patilio,Earth-1610,,Secret,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse,CodenamesFrog-Man,,Frog-Man,Single,,,,4,5,1,2
Eugene Patilio,Eugene Patilio,Frog-Man's Reality,Supervillain,Secret,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse,Codenames Frog-Man,,Frog-Man,Single,,,,3,5,2,3
Patrick O'Hara (Earth-31913),Patrick O'Hara,Earth-31913,Vigilante,Secret,Alive,,,Human (enhanced),Male,,,,,Spider-Man: Across the Spider-Verse,CodenamesWeb-Slinger,,Peter ParkerSpider-Man,,Spider-Society,,,4,2,4,2
Peter Parkedcar,Peter Parkedcar,Earth-53931,Superhero,Secret,Alive,,,Sentient Car/Spider-Vehicle,Male,,Black,No Hair,,Spider-Man: Across the Spider-Verse,Codenames  Spider-Mobile,,Peter ParkerSpider-Mobile,Single,Spider-Society,,Aunt-T(aunt),5,4,4,3
Peter Parker,Peter Benjamin Parker,Spider-Man Alternate 2002's reality,Superhero,Secret,Alive,,,Spider-Person,Male,,Blue,Brown,173 cm (5’8”),Spider-Man: Across the Spider-Verse,Codenames  Spider-Man  Editorial Names  Alex Ross Spider-Man,,Peter ParkerSpider-Man (basis),Single,Spider-Society,United States,,4,2,5,2
Peter Parker (Alternate Assassin),Peter Benjamin Parker,Assassin Spider-Man's reality,Superhero and Assassin,Secret,Alive,,,Spider-Person,Male,,,,,Spider-Man: Across the Spider-Verse,CodenamesSpider-Man  Assassin Spider-Man,,Spider-People,Single,Spider-Society,File:Flag of Scotland.png Scottish,,1,1,1,3
Peter Parker,Peter Benjamin Parker,Spider-Man Unlimited's Reality,Superhero,Secret,Alive,,,Spider-Person,Male,,,,,Spider-Man: Across the Spider-Verse,Codenames  Spider-Man  Editorial Names  Spider-Man Unlimited,,Peter ParkerSpider-Man Unlimited(presumable basis),Single,Spider-Society,,Ben Parker(uncle; deceased),2,3,5,1
Peter Parker,Peter Benjamin Parker,Earth-1048,,,Alive,1995,23 (MSM)24 (MM)25 (MSM2),Human,,,,,178cm,Spider-Man: Across the Spider-Verse,Codenames Spider-ManInsomniac Spider-ManOrganizational Names  Video game guys (with videogames villains),,Peter ParkerSpider-People,,,,May Parker † (aunt)Ben Parker † (uncle),2,3,4,5
Peter Parker,Peter Benjamin Parker,Earth-12041,,Secret,Alive,,21,Human,Male,White,Blue,Brown,5'10 (1.78.m),Spider-Man: Across the Spider-Verse,CodenamesSpider-ManUltimate Spider-Man,New York City,,,,American,"Ben Parker (uncle, deceased)May Parker (aunt)",1,1,4,2
Peter Parker,Peter Benjamin Parker,Earth-13122,SuperheroPhotographer,Secret,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse,CodenamesSpider-ManLEGO Spider-ManOrganizational NamesSpider-Man of E-13122[1],,Peter ParkerSpider-Man,,Spider-SocietyDaily Bugle,,,3,3,1,3
Peter Parker,Peter Benjamin Parker,Earth-1610,Photographer (part-time)Graduate student,Public (post-mortem),"Deceased (anomaly because he is supposed to be alive but he died due to saving Miles Morales, who was bitten by Earth-42’s radioactive spider)",January 8 1991,26 (deceased)[3],Human (enhanced),Male,White,Blue,Blonde,186 cm,Spider-Man: Into the Spider-VerseSpider-Man: Across the Spider-Verse (flashback),CodenamesSpider-Man[1]Dusk[1]Web-Man[1]Iron Spider[1]The Ultimate Spider-Man[1]DerivativesPeter Parker[1]Peter[1]NicknamesFriendly Neighborhood Spider-Man[1] The Amazing Spider-Man[1]The Original Spider-Man[1]The Blonde Spider-Man[1]Blonde Peter Parker[1]Peter A. Parker[1]In-Universe MediaBilly Barker[1]Spider-Man #1[2],New York City,Peter ParkerSpider-Man,Married,Ultimates (presumed),American,Ben Parker † (uncle)May Parker (aunt),1,2,3,1
Peter Parker,Peter Benjamin Parker,Earth-18119,,Secret,Alive,,Unkown,Human,Male,White,Brown,brown,,Spider-Man: Across the Spider-Verse,CodenamesSpider-Man,New York City,Peter Parker,Married,,American,Annie Parker (daughter),5,2,3,1
Peter Parker,Peter Benjamin Parker,Earth-20824,Superhero,Secret,Alive,,,Spider-Person,Male,,,,,Spider-Man: Across the Spider-Verse,Codenames  Spider-Man  Playstation Spider-Man  Neversoft Spider-Man,,Spider-PeoplePeter Parker,Married,Spider-Society,American,,5,1,4,5
Peter Parker,Peter Benjamin Parker,Earth-2301,,,Alive,,,,Male,,,,,Spider-Man: Across the Spider-Verse,Spider-ManManga-verse Spider-Man,,Peter ParkerSpider-Man,,,,,2,3,4,3
Peter Parker,Peter Benjamin Parker,Earth-26496,,Secret,Alive,April 1992,16 (SSM)Unknown (ATSV),Human,Male,White,Brown,Brown,"5' 6"" (1.68 m)",Spider-Man: Across the Spider-Verse,CodenamesSpider-Man[1]The Spectacular Spider-Man[1],,Peter ParkerSpider-Totem,,Spider-SocietyMiguel O'Hara,,,5,5,5,2
Peter Parker,Peter Benjamin Parker,Earth-312500,Superhero (formely)  Criminal,Public,Deceased,New York City,68,,Man,,Hazel,Brown,,Spider-Man: Across the Spider-Verse,,New York City,,Single,Spider-Society,,May Parker  Mary Jane Watson Parker,2,4,5,4
Peter Parker,Peter Benjamin Parker,Earth-57594,Superhero,Secret,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse,Codenames  Spider-Man  Editorial Names  Spider-Man MK III Spider-Armor,,Peter ParkerSpider-People,Unknown,Spider-Society,American,"Ben Parker (uncle, deceased)",1,5,5,1
